LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,0.7175000000000001,4.041666666666667,5.338349944219967,6.796267216888455,mp-1211183,Li4 Tm24 B12 O56,4,4.8766,0.0,-3.635536231180557
0.0,0.7175000000000001,4.0,5.528547646202571,7.024294268057257,mp-1211144,Li4 Sm24 B12 O56,4,4.5108000000000015,0.0,-3.534829584930555
0.0,0.4100000000000001,3.875,5.596183036347038,7.1073365862687945,mp-1211241,Li4 Nd24 B12 O56,4,4.4113,0.0,-3.4942875499305552
0.0,1.5,5.25,3.8630971980500752,5.091013027892455,mp-1211435,K4 Li4 Tb4 F20,4,7.3874,0.0,-3.80728028278125
0.0,1.5,5.25,3.890847023397981,5.119754886432038,mp-1211585,K4 Li4 Gd4 F20,4,4.5921,0.0,-3.767145402885417
0.0,1.5,5.25,3.799850684140371,5.031552858694628,mp-1211480,K4 Li4 Lu4 F20,4,7.4932,0.0,-3.81813496215625
0.0,0.4100000000000001,3.75,5.60236666771003,7.08921007299356,mp-1211486,Li4 Pr24 B12 O56,4,4.3181,0.0,-3.465967741284721
0.0,1.5,5.125,3.852991287153518,5.08582800782499,mp-1211461,K4 Li4 Dy4 F20,4,7.3887,0.0,-3.808915327781249
0.0,1.5,5.0,3.9202900687679394,5.192164423457408,mp-1211494,K4 Li4 Ho4 F20,4,7.378,0.0,-3.810374347260416
0.0,1.7142857142857142,3.571428571428572,3.955781603614952,5.180051339099492,mp-18704,Cs4 Li4 Be4 F16,4,7.0366,0.0,-3.3528063647126443
0.0,0.7320000000000003,5.6,2.9679768861382385,5.140628168895929,mp-24413,Na4 Li2 Al2 H12,4,3.1678,0.0,-0.316796481859194
0.0,1.3333333333333333,3.555555555555556,4.037495609831071,5.255763660360842,mp-543044,Ba4 Li4 Al4 F24,4,7.4521,0.0,-3.860047451203703
0.0,1.3333333333333337,5.0,3.780397004060027,4.584472163261872,mp-554076,Ba4 Li4 B4 S12,4,2.1532,0.0,-1.532940570416666
0.0,0.3514285714285715,3.0,6.079870695346705,7.620663645869972,mp-555232,Li4 U16 P12 O80,4,1.838899999999999,0.0,-3.229446636955781
0.0,0.6560000000000001,5.2,5.463857910166623,7.352411994040476,mp-557473,K20 Li4 Ge8 O28,4,3.3197,0.0,-2.086975833472221
0.0,0.8200000000000002,3.5,4.511919640303977,4.05551438128244,mp-559719,Li4 Pr4 S8 O32,4,5.3953,0.0,-2.528483322499999
0.0,1.6479999999999997,5.6,2.970451270531293,3.4107471002972205,mp-570948,Li4 Ca4 Ga4 N8,4,2.1319,0.0,-0.840424472166667
0.0,2.0500000000000003,4.666666666666667,3.1570677340057087,3.8601535397125297,mp-562137,K4 Li4 C4 O12,4,4.5495,0.0,-2.189758444680555
0.0,1.093333333333333,3.7222222222222223,4.983771768047401,5.90819089758211,mp-561474,K24 Li8 Si8 O32,4,3.674399999999999,0.0,-2.430990501398148
0.0,1.405714285714286,3.7142857142857135,3.804303293371405,4.968556284825991,mp-6211,Rb4 Li4 S4 O16,4,5.3396,0.0,-2.3004494801190463
0.0,1.405714285714286,2.7142857142857144,3.3400197445353856,4.289373113769883,mp-643458,Li4 H4 S4 O16,4,6.1448,0.0,-1.936632521369047
0.0,1.405714285714286,3.857142857142857,3.997745950894607,5.225980559991087,mp-6726,Cs4 Li4 S4 O16,4,5.378,0.0,-2.3011960093555
0.0,0.9155555555555552,5.222222222222222,3.7108346961332312,4.602592355721596,mp-1020627,Sr4 Li4 Al12 N16,4,3.0465,0.0,-1.31789140037037
